,round,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
200,1,0.0005920242166699849,0.005728810786912176,4.4215719272482445,0.024331547765606382,1.5996954000002006,ok,fill_mean,Fill with column mean
201,2,0.0005876594432980747,0.005027503971630182,6.624875531882342,0.02424168812805896,1.6318556999995053,ok,fill_mean,Fill with column mean
202,3,0.0006176033723735932,0.006816268325553106,6.537431691905544,0.024851627157463817,1.4838000000017928,ok,fill_mean,Fill with column mean
203,4,0.0006935370124641655,0.00737750465975024,5.478659013026103,0.026335090895308593,2.0127763000000414,ok,fill_mean,Fill with column mean
204,5,0.0006363830891426194,0.006096968037366418,5.082023677679237,0.025226634518750603,1.8590932999995857,ok,fill_mean,Fill with column mean
205,6,0.0006492567963885059,0.007194669029049717,6.449172976257983,0.02548051797724108,1.805126700000983,ok,fill_mean,Fill with column mean
206,7,0.000609358416678252,0.0048074038940564365,5.613997268976185,0.024685186178723707,1.5860204999989946,ok,fill_mean,Fill with column mean
207,8,0.0007937597246947286,0.01297836585318177,7.935688662637272,0.028173741758856393,1.5121393000008538,ok,fill_mean,Fill with column mean
208,9,0.0007471705420677807,0.012394051238601473,7.3285323577169255,0.02733442046336049,2.048036400001365,ok,fill_mean,Fill with column mean
209,10,0.000696103531364221,0.008759505720458388,4.913417882050744,0.026383774016698613,1.636186199999429,ok,fill_mean,Fill with column mean
210,11,0.0006105891443501719,0.005569942277254967,4.951231771433787,0.02471010207081654,1.709657800000059,ok,fill_mean,Fill with column mean
211,12,0.0010868173883033744,0.018637640672072794,10.752053948774929,0.03296691353923467,1.7224468999993405,ok,fill_mean,Fill with column mean
212,13,0.0006364182241411487,0.006335606826412264,5.728221345941151,0.02522733089609657,1.8155764000002819,ok,fill_mean,Fill with column mean
213,14,0.000597012044777743,0.009728472609017425,7.841687332014885,0.02443382992446626,1.7636155000000144,ok,fill_mean,Fill with column mean
214,15,0.0006271049097269961,0.007953533837273454,5.877586401128658,0.025042062808942,1.5932057999998506,ok,fill_mean,Fill with column mean
215,16,0.0007373904739065124,0.009628614339368452,7.348505219140875,0.027154934614292713,1.6767959999997402,ok,fill_mean,Fill with column mean
216,17,0.000753094136825603,0.010733313014135593,7.046444950214125,0.027442560682735186,1.5485704000002443,ok,fill_mean,Fill with column mean
